Work ID,Work Category,Work Title,State,IDA (Nodal Agency),Hon'ble MP,Constituency,Work Description,Recommended Date,Sanction Date,Sanction Amount (INR),Disbursed Amount (INR),Vendor Name,Expenditure Date,Work Status
WS/MP18354/2024-2025/138749,Normal/Others,"Purchase of IT systems, including hardware and software for educational purposes",Chhattisgarh,Balrampur-Ramanujganj(District Collector BALRAMPUR_IDA),CHINTAMANI MAHARAJ,SARGUJA(ST),"Purchase of IT systems, including hardware and software for educational purposes at Government Girls Higher Secondary School Kusmi",04-Sep-2024,26-Mar-2025,1000000.0,0.0,,,Vendor Identification
WS/MP313/2024-2025/138757,Normal/Others,Construction of boundary walls of existing public and community buildings,Arunachal Pradesh,LONGDING(Deputy Commisioner Longding_IDA),Shri Tapir Gao,ARUNACHAL EAST,C/o Protection wall at Nginu Village under Longchan Circle in Longding District,14-Sep-2024,29-Oct-2024,1000000.0,0.0,,,Physical Inspection
WS/MP352/2025-2026/138758,Trust and Society,Construction of public libraries and reading rooms,Kerala,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Shri Hibi Eden,ERNAKULAM,"Construction of Building for Eroor Grameena Vayanashala at Ward 48, Tripunithura Muncipality",04-Sep-2024,07-Jan-2026,5000000.0,0.0,,,Sanction
WS/MP313/2024-2025/138767,Normal/Others,Construction of buildings for training institutions,Arunachal Pradesh,LOHIT(DEPUTY COMMISSIONER LOHIT_IDA),Shri Tapir Gao,ARUNACHAL EAST,C/o Medo Youth Club Office at Medo Village under Wakro Circle in Lohit District,14-Sep-2024,29-Jan-2025,600000.0,0.0,,,Work partially Completed
WS/MP313/2024-2025/138768,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Arunachal Pradesh,LOHIT(DEPUTY COMMISSIONER LOHIT_IDA),Shri Tapir Gao,ARUNACHAL EAST,C/o GSB Road at GK Glat Village under Wakro Circle in Lohit District,14-Sep-2024,27-Jan-2025,1000000.0,0.0,,,Physical Inspection
WS/MP313/2024-2025/138769,Normal/Others,Construction of boundary walls of existing public and community buildings,Arunachal Pradesh,ANJAW(Deputy Commisioner Anjaw_IDA),Shri Tapir Gao,ARUNACHAL EAST,C/o Boundary Wall at GUP School Doringko in Anjaw District,14-Sep-2024,12-Feb-2025,2000000.0,0.0,,,Work Completed
WS/MP479/2024-2025/138772,Normal/Others,Development of playground,West Bengal,BANKURA(DISTRICT MAGISTRATE BANKURA_IDA),Saumitra khan,BISHNUPUR(SC),Boundary fencing & 4Nos.of Solar Lights,04-Sep-2024,13-Dec-2024,2774787.0,0.0,,,Physical Inspection
WS/MP479/2024-2025/138775,Normal/Others,Installing community drinking water plants,West Bengal,BANKURA(DISTRICT MAGISTRATE BANKURA_IDA),Saumitra khan,BISHNUPUR(SC),Installation of 2Nos. water Purifier (2Nos. X 135000/ each) = Rs.270000 /-,04-Sep-2024,13-Dec-2024,269835.0,0.0,,,Physical Inspection
WS/MP313/2024-2025/138779,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Arunachal Pradesh,NAMSAI(Deputy Commisioner Namsai_IDA),Shri Tapir Gao,ARUNACHAL EAST,C/o Link road at New Lathao to Paddy field in Namsai District,15-Sep-2024,24-Nov-2024,999998.0,0.0,,,Physical Inspection
WS/MP313/2024-2025/138780,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Arunachal Pradesh,NAMSAI(Deputy Commisioner Namsai_IDA),Shri Tapir Gao,ARUNACHAL EAST,C/o Link road from Mabira Village to Agriculture field at Chongkham in Namsai District,15-Sep-2024,24-Nov-2024,1999680.0,0.0,,,Physical Inspection
WS/MP313/2024-2025/138791,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Arunachal Pradesh,NAMSAI(Deputy Commisioner Namsai_IDA),Shri Tapir Gao,ARUNACHAL EAST,C/o Link road from NH-15 to Lathao in Namsai District,15-Sep-2024,24-Nov-2024,499994.0,0.0,,,Physical Inspection
WS/MP313/2024-2025/138796,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Arunachal Pradesh,NAMSAI(Deputy Commisioner Namsai_IDA),Shri Tapir Gao,ARUNACHAL EAST,C/o Link Road at Jona Kachari Kuli in Namsai District,15-Sep-2024,24-Nov-2024,499994.0,0.0,,,Physical Inspection
WS/MP423/2024-2025/138819,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Construction of CC road with protection wall from H/O Avay Nath towards H/O Debabrata Manna  at Nischintapur GP Sansad IX under Budge Budge I PS (50 mtr),04-Sep-2024,12-Feb-2025,199795.0,0.0,,,Physical Inspection
WS/MP423/2025-2026/138820,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Construction of CC road with protection wall from house of Ranajit Bhattacharjya towards house of Aditya Manna at Nischintapur GP Sansad IX under Budge Budge I PS (20.50 mtr),04-Sep-2024,22-May-2025,99575.0,0.0,,,Physical Inspection
WS/MP423/2024-2025/138821,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Construction of CC Road  With protection Wall from H/O Joydeb  Dalui to H/O Bhuth Nath Dalui. (69 mtr),04-Sep-2024,12-Feb-2025,301378.0,0.0,,,Physical Inspection
WS/MP423/2025-2026/138822,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Construction of CC Road with Protection wall from House of Sanyashi Naskar to House of Sujit Chakraborty. (101.0 mtr.),04-Sep-2024,22-May-2025,497132.0,0.0,,,Physical Inspection
WS/MP423/2025-2026/138823,Normal/Others,Street lights,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Installation of 10 numbers Solar Light at 10 booths of Chingripota GP under Budge Budge I.,04-Sep-2024,19-Jun-2025,397407.0,0.0,,,Physical Inspection
WS/MP423/2024-2025/138824,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Construction of CC Road  from Mithapukur Baro Masjid towards H/O Lata Mallik. (74.5 mtr),04-Sep-2024,12-Feb-2025,300680.0,0.0,,,Physical Inspection
WS/MP423/2024-2025/138825,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Construction of CC Road from Hati Bhanga Pole to Muktar Ration Shop. (145.8 mtr),04-Sep-2024,27-Nov-2024,399060.0,0.0,,,Physical Inspection
WS/MP423/2024-2025/138826,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,"Construction of CC road from H/O Pulak Majee to H/O Laltu Majee, at Sansad VII. (71 mtr)",04-Sep-2024,12-Feb-2025,193551.0,0.0,,,Physical Inspection
WS/MP423/2024-2025/138827,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Construction of CC Road from H/O Kadan Bar to H/O Rana Bar at Ghanshyambati- I (30 mtr),04-Sep-2024,12-Feb-2025,96101.0,0.0,,,Physical Inspection
WS/MP423/2024-2025/138828,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Construction of protection wall near pond of Rahaman Molla. (40 mtr),04-Sep-2024,12-Feb-2025,198906.0,0.0,,,Physical Inspection
WS/MP423/2024-2025/138839,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Construction of CC Road from H/O Bapi Mondal to H/O Nisikanta Mondal at Ghanshyambati- III (30 mtr),04-Sep-2024,12-Feb-2025,98634.0,0.0,,,Physical Inspection
WS/MP423/2024-2025/138841,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Construction of CC Road from H/O Mrityunjay Mandal to H/O Ranjit Mondal at South bawali. (40 mtr),04-Sep-2024,12-Feb-2025,93262.0,0.0,,,Physical Inspection
WS/MP423/2024-2025/138844,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Construction of CC Road From H/O Sk Kochi towards H/O Sk Sajamal. (127 mtr),04-Sep-2024,12-Feb-2025,393193.0,0.0,,,Physical Inspection
WS/MP423/2024-2025/138847,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Construction of CC Road with pilling from H/O Mr. Kalam Mallick to H/O Mr. Rahaman Mallick . (100 mtr),04-Sep-2024,12-Feb-2025,296746.0,0.0,,,Physical Inspection
WS/MP18001/2024-2025/138858,Normal/Others,Construction of community centers and community halls,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),GM Harish Balayogi,AMALAPURAM(SC),Construction of OC Community hall at Machara,04-Sep-2024,27-Nov-2024,3507771.0,0.0,,,Physical Inspection
WS/MP641/2024-2025/138892,Normal/Others,Purchase of hospital equipment,Madhya Pradesh,Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead body freezer,04-Sep-2024,20-Nov-2024,236003.0,0.0,,,Physical Inspection
WS/MP641/2024-2025/138894,Normal/Others,Purchase of hospital equipment,Madhya Pradesh,Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead body freezer,04-Sep-2024,20-Nov-2024,236003.0,0.0,,,Physical Inspection
WS/MP641/2024-2025/138895,Normal/Others,Purchase of hospital equipment,Madhya Pradesh,Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead Body Freezer,04-Sep-2024,20-Nov-2024,236003.0,0.0,,,Physical Inspection
WS/MP641/2024-2025/138897,Normal/Others,Purchase of hospital equipment,Madhya Pradesh,Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead Body Freezer,04-Sep-2024,20-Nov-2024,236003.0,0.0,,,Physical Inspection
WS/MP641/2024-2025/138899,Normal/Others,Purchase of hospital equipment,Madhya Pradesh,Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead body freezer,04-Sep-2024,20-Nov-2024,236003.0,0.0,,,Physical Inspection
